"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"57",32,0.0696629213483146,0.054793913438447,0.0885668189448272,0.0832527211775342,0.0757499373601239,0.0907555049949445,"Back","C. leucas"
"58",33,0.0685393258426966,0.0537967219014869,0.0873220341487295,0.0812226545016023,0.0738834076435103,0.0885619013596941,"Back","C. leucas"
"59",34,0.0674157303370786,0.0528007837789106,0.0860760081879125,0.0793199088383554,0.0721330752036948,0.0865067424730161,"Back","C. leucas"
"60",35,0.0662921348314607,0.0518061276769549,0.0848287130803534,0.0775338291091562,0.0704891770242814,0.084578481194031,"Back","C. leucas"
"61",36,0.0640449438202247,0.0498207819535133,0.0823301977227697,0.0763380609692121,0.0693615921135091,0.0833145298249151,"Back","C. leucas"
"62",40,0.0629213483146067,0.0488301557542591,0.0810789155302406,0.0691467442997759,0.0628083083198289,0.0754851802797229,"Back","C. leucas"
"63",41,0.0606741573033708,0.04685316571211,0.0785721371976082,0.0683472540527295,0.0620423934383647,0.0746521146670944,"Back","C. leucas"
"64",42,0.0595505617977528,0.0458668740433889,0.0773165707144832,0.0671649892660491,0.0609487375590886,0.0733812409730097,"Back","C. leucas"
"65",45,0.0584269662921348,0.0448821021557308,0.076059503145763,0.0631106165365502,0.0572497624200434,0.0689714706530569,"Back","C. leucas"
"66",52,0.0573033707865169,0.043898890445289,0.0748008951977833,0.0549883813461896,0.0498639505036253,0.0601128121887539,"Back","C. leucas"
"67",54,0.0561797752808989,0.042917281241916,0.0735407057316055,0.0533184899499637,0.0483317816034653,0.0583051982964621,"Back","C. leucas"
"68",55,0.0550561797752809,0.0419373189419862,0.0722788916392395,0.052716384811192,0.0477676935934886,0.0576650760288953,"Back","C. leucas"
"69",56,0.0539325842696629,0.0409590501532194,0.0710154077090008,0.0521432223538981,0.0472296145624671,0.0570568301453292,"Back","C. leucas"
"70",62,0.0528089887640449,0.039982523852857,0.0697502064788175,0.0474366751776795,0.042948949967988,0.0519244003873709,"Back","C. leucas"
"71",70,0.051685393258427,0.0390077915607314,0.068483238076146,0.0423225723748156,0.0383023751896586,0.0463427695599726,"Back","C. leucas"
"72",73,0.050561797752809,0.0380349075289807,0.0672144500429779,0.0408843694925461,0.0369844797831137,0.0447842592019785,"Back","C. leucas"
"73",76,0.049438202247191,0.0370639289504121,0.0659437871442117,0.0395662082737885,0.0357756922342485,0.0433567243133285,"Back","C. leucas"
"74",81,0.048314606741573,0.0360949161878067,0.0646711911574243,0.03740767095102,0.0338078943787966,0.0410074475232434,"Back","C. leucas"
"75",87,0.0460674157303371,0.0341630469553899,0.0621199506836402,0.0353752804140446,0.0319389433860984,0.0388116174419907,"Back","C. leucas"
"76",90,0.0438202247191011,0.0322398564370092,0.0595601937057091,0.0347517757399615,0.0313418646543677,0.0381616868255554,"Back","C. leucas"
"77",91,0.0426966292134831,0.0312817084401213,0.0582769368138319,0.0346553329999978,0.0312368006467475,0.0380738653532481,"Back","C. leucas"
"78",96,0.0415730337078652,0.0303259712429761,0.0569913200084431,0.0331281619800204,0.0298422531593446,0.0364140708006963,"Back","C. leucas"
"79",102,0.0393258426966292,0.0284221010450626,0.0544126523703526,0.0317242490317331,0.0285407703120146,0.0349077277514515,"Back","C. leucas"
"80",112,0.0382022471910112,0.0274741699993361,0.0531194096301504,0.0291505440902681,0.0262072579264818,0.0320938302540544,"Back","C. leucas"
"81",115,0.0370786516853933,0.0265290549507681,0.051823422031357,0.0286496860979105,0.0257383745142954,0.0315609976815256,"Back","C. leucas"
"82",122,0.0359550561797753,0.0255868759798478,0.0505245761893315,0.0272580783600529,0.0244696344579144,0.0300465222621915,"Back","C. leucas"
"83",125,0.0348314606741573,0.0246477622899171,0.049222750464113,0.0268578740659283,0.0240911948364339,0.0296245532954227,"Back","C. leucas"
"84",137,0.0337078651685393,0.0237118532129306,0.047917814099862,0.0247447013216353,0.0221771382615153,0.0273122643817552,"Back","C. leucas"
"85",164,0.0314606741573034,0.0218502639636761,0.0452980348465088,0.0210915667838475,0.0188688513921091,0.0233142821755858,"Back","C. leucas"
