"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"43",22,0.0586766541822722,0.0444633888375101,0.0774333634039477,0.12889606115265,0.116288069978726,0.141504052326574,"Leave","C. albimarginatus"
"44",23,0.0549313358302122,0.0412164864577902,0.0732098224622259,0.126159622310874,0.11367068175542,0.138648562866328,"Leave","C. albimarginatus"
"45",24,0.052434456928839,0.0390627975936213,0.0703833939909932,0.122841305366041,0.11057491351884,0.135107697213243,"Leave","C. albimarginatus"
"46",25,0.0499375780274657,0.0369185127923238,0.0675477290560776,0.119879259718177,0.107796833354079,0.131961686082275,"Leave","C. albimarginatus"
"47",26,0.0474406991260924,0.034784289168067,0.0647021970953069,0.117241337974691,0.105306158455979,0.129176517493404,"Leave","C. albimarginatus"
"48",27,0.0449438202247191,0.0326608685946244,0.061846088708257,0.114901555874528,0.103078015573702,0.126725096175353,"Leave","C. albimarginatus"
"49",28,0.0411985018726592,0.0294978697874684,0.0575403094793162,0.11390547805721,0.10197391222735,0.12583704388707,"Leave","C. albimarginatus"
"50",29,0.0374531835205992,0.0263644874995589,0.0532056978483332,0.113264260876076,0.101158268481287,0.125370253270865,"Leave","C. albimarginatus"
"51",30,0.0362047440699126,0.025327308351392,0.0517537621835694,0.110618837236063,0.0987086050093236,0.122529069462802,"Leave","C. albimarginatus"
"52",32,0.034956304619226,0.0242940613304455,0.0502980220561462,0.104801763652911,0.0934309226746578,0.116172604631164,"Leave","C. albimarginatus"
"53",34,0.031210986267166,0.0212199779013857,0.0459060640070514,0.101970150652946,0.0906222957999548,0.113318005505937,"Leave","C. albimarginatus"
"54",36,0.0299625468164794,0.020204622572964,0.0444331097246535,0.097439086575567,0.0864936214703238,0.10838455168081,"Leave","C. albimarginatus"
"55",38,0.0274656679151061,0.0181895907517278,0.04147223125134,0.0946004866765801,0.0837560842680066,0.105444889085154,"Leave","C. albimarginatus"
"56",39,0.0237203495630462,0.0152114985801758,0.0369887937357059,0.0959338966128697,0.0845420585697654,0.107325734655974,"Leave","C. albimarginatus"
"57",41,0.0224719101123595,0.0142323606763487,0.0354815870382734,0.0925729070529804,0.0814327168789604,0.103713097227,"Leave","C. albimarginatus"
"58",42,0.0199750312109863,0.0122976788885661,0.0324452992711375,0.0931731482102042,0.0816238025475974,0.104722493872811,"Leave","C. albimarginatus"
"59",44,0.0187265917602996,0.0113434989076617,0.0309150855315073,0.0904047896810488,0.0790116138479211,0.101797965514177,"Leave","C. albimarginatus"
"60",47,0.0149812734082397,0.0085442817388138,0.0262676910468531,0.089382006325114,0.0774343738787486,0.101329638771479,"Leave","C. albimarginatus"
"61",48,0.0124843945068664,0.00674340794248435,0.0231129582449161,0.0913182469598815,0.0784867053281651,0.104149788591598,"Leave","C. albimarginatus"
"62",50,0.0112359550561798,0.00586779130017731,0.0215151970419734,0.0897727273946428,0.0767799150876022,0.102765539701683,"Leave","C. albimarginatus"
"63",52,0.00998751560549313,0.00501209042785461,0.019901968930091,0.0885849885651639,0.0753257040564509,0.101844273073877,"Leave","C. albimarginatus"
"64",60,0.00873907615480649,0.00417975139170148,0.0182717690317984,0.0789991799668841,0.0667066347690395,0.0912917251647287,"Leave","C. albimarginatus"
"65",78,0.00749063670411985,0.00337536785344318,0.0166232661651591,0.0627448907415424,0.0525250254961075,0.0729647559869772,"Leave","C. albimarginatus"
"66",92,0.00624219725343321,0.00260530486654598,0.014956033380626,0.0551785112460246,0.0456808748907361,0.064676147601313,"Leave","C. albimarginatus"
"67",101,0.00499375780274657,0.00187884393513657,0.0132728517393753,0.0524709562965195,0.0427924213118017,0.0621494912812373,"Leave","C. albimarginatus"
"68",109,0.00374531835205992,0.00121051023045634,0.0115880140500662,0.051259162003672,0.040897100794577,0.0616212232127671,"Leave","C. albimarginatus"
"69",121,0.00249687890137328,0.000625545622878071,0.00996634621059164,0.0495265600537885,0.0380871176905286,0.0609660024170484,"Leave","C. albimarginatus"
"70",124,0.00124843945068664,0.000176074897171048,0.00885192089884714,0.0539182334440997,0.0381219418773968,0.0697145250108025,"Leave","C. albimarginatus"
"71",165,0,NA,NA,Inf,NA,NA,"Leave","C. albimarginatus"
"72",1,0.503676470588235,0.47051335219989,0.539177019819079,0.685821140467872,0.617711339322155,0.75393094161359,"Back","C. albimarginatus"
"73",2,0.324754901960784,0.294163107905588,0.358528121009002,0.562342264488942,0.512874090634211,0.611810438343674,"Back","C. albimarginatus"
"74",3,0.227941176470588,0.2009011028607,0.258620680478901,0.492889227083635,0.450797614975264,0.534980839192007,"Back","C. albimarginatus"
