"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"46",20,0.107255520504732,0.0892865693959424,0.128840728864018,0.111627062463056,0.102458914870494,0.120795210055618,"Leave","C. amblyrhinchos"
"47",21,0.10410094637224,0.0863934685646885,0.125437804681746,0.107733057733848,0.0988545344512333,0.116611581016462,"Leave","C. amblyrhinchos"
"48",22,0.0956887486855941,0.0787058832598281,0.116336114223982,0.106666116183115,0.09778507914679,0.115547153219441,"Leave","C. amblyrhinchos"
"49",23,0.0935856992639327,0.0767905864965942,0.114054124421978,0.102994682296228,0.0943948768533279,0.111594487739129,"Leave","C. amblyrhinchos"
"50",24,0.0883280757097792,0.0720147658959259,0.108336795399259,0.101112385987587,0.0926046011791465,0.109620170796027,"Leave","C. amblyrhinchos"
"51",25,0.0862250262881178,0.0701096411564833,0.106044689942035,0.0980317926112455,0.0897557868197198,0.106307798402771,"Leave","C. amblyrhinchos"
"52",26,0.0809674027339642,0.0653607051220464,0.10030063618871,0.0966811015650656,0.0884455092759937,0.104916693854138,"Leave","C. amblyrhinchos"
"53",27,0.0778128286014721,0.06252141292612,0.096844201235774,0.0945721840496748,0.0864685838734913,0.102675784225858,"Leave","C. amblyrhinchos"
"54",28,0.0757097791798107,0.0606330009307796,0.0945354934683092,0.0921731408403334,0.0842421400979398,0.100104141582727,"Leave","C. amblyrhinchos"
"55",29,0.07465825446898,0.0596901796947093,0.0933797651282497,0.0894770408794509,0.0817614001609633,0.0971926815979384,"Leave","C. amblyrhinchos"
"56",30,0.0683491062039958,0.0540538007368128,0.086425010918863,0.0894375597549918,0.0816159388945095,0.0972591806154741,"Leave","C. amblyrhinchos"
"57",31,0.0651945320715037,0.0512497448051715,0.0829336229512977,0.0880767637903322,0.0803133778907514,0.095840149689913,"Leave","C. amblyrhinchos"
"58",32,0.0630914826498423,0.0493860293951915,0.0806004295486633,0.0863490468851028,0.078695353127996,0.0940027406422096,"Leave","C. amblyrhinchos"
"59",33,0.0578338590956887,0.0447480975642407,0.0747463119096453,0.0863691174943309,0.0785956183918167,0.0941426165968451,"Leave","C. amblyrhinchos"
"60",35,0.0557308096740273,0.0429021047262518,0.0723955891381279,0.0824920613998077,0.0750174258557971,0.0899666969438182,"Leave","C. amblyrhinchos"
"61",36,0.0536277602523659,0.041061767669231,0.0700392806479269,0.0812691230505851,0.073852751172403,0.0886854949287673,"Leave","C. amblyrhinchos"
"62",37,0.0525762355415352,0.0401438156025968,0.0688589388483585,0.0796078664085742,0.0723160873369466,0.0868996454802017,"Leave","C. amblyrhinchos"
"63",39,0.0494216614090431,0.0373993297292627,0.0653086735540876,0.0771119605342393,0.0699648826992551,0.0842590383692235,"Leave","C. amblyrhinchos"
"64",40,0.0473186119873817,0.0355779453187427,0.0629336804121972,0.0762712893193768,0.0691418449732434,0.0834007336655102,"Leave","C. amblyrhinchos"
"65",44,0.046267087276551,0.0346698873027457,0.0617435916754901,0.0698482824687984,0.0632901156225906,0.0764064493150061,"Leave","C. amblyrhinchos"
"66",45,0.0452155625657203,0.0337636596459464,0.0605517032091046,0.0688069765967073,0.062316837342425,0.0752971158509896,"Leave","C. amblyrhinchos"
"67",47,0.0431125131440589,0.0319569373360799,0.0581622941538318,0.0668923828902358,0.0605216595951864,0.0732631061852852,"Leave","C. amblyrhinchos"
"68",49,0.0420609884332282,0.0310565725900679,0.0569646487180602,0.0646660124169685,0.0584760081934418,0.0708560166404951,"Leave","C. amblyrhinchos"
"69",51,0.0410094637223975,0.0301582986285104,0.0557649533057131,0.0626265179689362,0.056600189879929,0.0686528460579433,"Leave","C. amblyrhinchos"
"70",56,0.0389064143007361,0.0283683292212766,0.0533591196694524,0.0579749312482351,0.0523341138474938,0.0636157486489764,"Leave","C. amblyrhinchos"
"71",59,0.0378548895899054,0.0274767993803577,0.0521528234066565,0.0554914427811742,0.0500606264219053,0.0609222591404432,"Leave","C. amblyrhinchos"
"72",60,0.0368033648790747,0.0265876924827786,0.0509441602463108,0.0550361000175996,0.0496170857204453,0.060455114314754,"Leave","C. amblyrhinchos"
"73",63,0.0357518401682439,0.0257011060949105,0.0497330375858328,0.0528754529830036,0.0476362829613306,0.0581146230046767,"Leave","C. amblyrhinchos"
"74",65,0.0347003154574132,0.0248171447670986,0.0485193564426616,0.0517077923242909,0.0465506532115098,0.0568649314370721,"Leave","C. amblyrhinchos"
"75",66,0.0325972660357518,0.0230575548568771,0.0460838870210325,0.0518716190615188,0.0466256350363187,0.057117603086719,"Leave","C. amblyrhinchos"
